FactTable
1, B, X, p1, b, 40, -33, 1800, 24
2, C, X, psi, a, 36, 110, 100, 117
3, C, Y, psi, l, 42, 0, 1000, 35
4, C, Y, p3, w, 2, 55, 600, 56
5, A, X, p1, a, 10, 0, 600, 63
6, C, X, p3, l, 9, -55, 1700, 24
7, C, X, p2, b, 22, 88, 300, 68
8, C, X, p1, l, 45, -11, 700, 152
9, C, X, psi, l, 19, -44, 400, 112
10, C, X, psi, b, 30, 22, 1700, 30
11, C, Y, p3, l, 41, 22, 800, 18
12, B, Y, p1, a, 36, 88, 300, 128
13, C, Y, lri, b, 30, 55, 1600, 16
14, A, X, p2, b, 29, -22, 1300, 18
15, B, Y, p2, w, 25, -55, 1000, 26
16, B, Y, p3, l, 32, 66, 800, 30
17, A, X, p1, w, 10, 11, 600, 88
18, A, X, p1, w, 41, 66, 900, 21
19, B, X, p2, a, 27, 44, 1600, 72
20, B, X, p3, b, 38, 66, 500, 63
21, A, X, p1, b, 5, 44, 2000, 32
22, B, Y, psi, b, 36, 11, 700, 84
23, C, X, lri, b, 41, 88, 1600, 144
24, A, X, p1, w, 35, 110, 600, 32
25, B, X, p1, b, 36, 22, 900, 45
26, A, Y, p1, a, 2, 66, 700, 171
27, C, X, p1, b, 30, -44, 500, 126
28, C, X, lri, b, 17, 11, 1600, 49
29, B, Y, p3, b, 21, 88, 1600, 18
30, B, X, p1, b, 4, 33, 700, 108
31, B, Y, p1, l, 1, 0, 100, 68
32, A, X, p1, l, 18, 99, 2000, 48
33, A, X, p2, b, 48, 55, 1800, 135
34, C, X, p3, l, 20, 33, 1700, 26
35, A, X, lri, a, 47, -22, 1600, 42
36, A, X, p1, w, 7, 0, 1300, 78
37, A, X, p3, a, 36, -22, 900, 42
38, B, Y, psi, a, 31, 110, 700, 108
39, C, X, p1, b, 31, -33, 1600, 96
40, C, X, p2, a, 29, -55, 1700, 150
41, A, Y, p2, l, 48, -22, 400, 30
42, B, X, p3, l, 21, 88, 300, 36
43, C, Y, psi, l, 5, 33, 800, 98
44, B, X, psi, l, 34, 66, 2000, 88
45, B, Y, p2, l, 8, 99, 200, 102
46, A, X, lri, l, 20, 22, 1600, 40
47, C, Y, p2, a, 23, -22, 1600, 30
48, B, X, lri, l, 20, 22, 900, 70
49, B, Y, p3, a, 12, 88, 900, 126
50, C, X, p2, a, 12, -33, 400, 108
51, A, X, p3, b, 32, -55, 800, 190
52, C, X, p2, a, 8, 66, 1600, 28
53, A, X, psi, b, 30, 88, 500, 150
54, B, Y, p1, l, 45, 22, 1800, 180
55, A, X, psi, b, 37, 66, 300, 18
56, C, X, psi, a, 50, 44, 800, 171
57, C, Y, p1, a, 10, 55, 600, 114
58, B, X, p2, l, 42, -33, 1500, 171
59, A, Y, psi, w, 10, 66, 1300, 70
60, C, Y, psi, a, 35, -44, 2000, 36
61, C, Y, p3, l, 46, 110, 1700, 65
62, B, Y, p1, b, 38, 22, 400, 120
63, B, X, p1, l, 36, 99, 600, 90
64, A, X, p2, a, 34, 88, 1000, 35
65, B, Y, p3, w, 44, -44, 300, 36
66, B, X, p3, w, 5, 22, 2000, 144
67, A, X, psi, l, 32, -11, 1100, 80
68, B, X, p3, w, 38, 88, 400, 52
69, C, X, p2, w, 32, -22, 800, 26
70, B, Y, p2, w, 8, 33, 1800, 76
